abbrev,k,mu,sigma,lmda,nllPerSamp,nsamples
ACNC,0.51102291689636825,3.7034101541184246,0.63659982399166781,0.0015994266446159628,6.449681938695317,401
AGBP,0.53309835006033057,3.9358519626827788,1.2010839292406494,0.0013656693063995183,6.7688736535076801,109
ALAM,0.63661491640760015,3.3323567955055542,0.65212527158564326,0.0016858322688351273,5.8803669009730264,1379
ALTA,0.57186438278836482,3.7039861620096373,0.80722488927896097,0.001518465095007745,6.3977309728210692,591
ANHC,0.7215731228789094,3.1474141119162415,0.57225944679871543,0.001460791548669908,5.4382341344046754,1662
ATCC,0.74991520405273715,3.1698969804208579,0.42700275247178043,0.0020942450307501804,5.0177860324824071,1033
BEAC,0.81533265480559591,3.3255955506854571,0.49114960558895165,0.0018367759600036583,4.9968662220017572,571
BGSJ,0.85745324443456206,3.2332226535965436,0.45799072326280432,0.002103224649689042,4.6464508741053754,650
BGYL,0.8561213128618006,3.6196266050594086,0.64797719958309141,0.0016337111425714372,5.290124006373274,526
BPNC,0.58943781366737202,3.3537465414594387,0.60452196927149404,0.0020629218077953841,5.9034967427156984,915
BVCC,0.40608836244146412,3.5334898659964495,0.69611861473479786,0.0013560398269243754,6.8070821336820906,407
CAPO,0.46463368672037814,2.9710620006574922,0.33035571552135085,0.0022923644206573075,5.8612847689028271,571
CARE,0.74011523431348392,3.2036792594189691,0.38979866506086785,0.001965445492482868,5.0467512534431531,1638
CMSA,0.44607016373611552,4.0772700890305051,1.3062245836642294,0.0010168489555123638,7.2157384795529325,190
COCT,0.76835975965952108,3.8036989622153179,0.74453978933659415,0.0015494107589156675,5.8300524350605913,665
COVI,0.77943041833519433,3.0775069438181464,0.30275958790162599,0.0052603109510387294,4.3200288993747735,644
CSNC,0.45515104190374039,3.1913405006631459,0.46003684770695658,0.0019621690993495669,6.1865990409436717,470
CVLH,0.67447781816565078,3.0783964527765479,0.38439573109589298,0.0022344683111929133,5.1901344634265367,1884
CVPL,0.48108372570359553,3.4094341524660239,0.63705400878205343,0.0020550852426285838,6.2581217828427604,670
CVSB,0.64969622049740949,3.2257360008453575,0.57159222517289188,0.0018175005997347121,5.6767696061212947,1717
EDNA,0.68091749454679651,3.2916426055106442,0.54148391818140573,0.0017418193373344177,5.5829000783637053,1054
ELIZ,0.83711933783408643,3.3811255918033347,0.5318602637733878,0.0017010485687386206,5.0105737519216227,684
EVER,0.78186591255721616,3.508262045357148,0.73298822747363701,0.0013549581209742442,5.6234772018923582,959
EXTW,0.5921151509647673,5.1221855929574636,1.1386169661408134,0.001105071777906952,7.2537529744736871,297
FLAG,0.73608443907803767,3.2393740749947497,0.54130874907421866,0.0016217058855825786,5.364245348017695,1388
FOCC,0.72407636497648242,3.3978285941888053,0.5531573164437209,0.0018082636381709738,5.4856518887455419,1217
FPCC,0.57460080079579867,3.2522042869948895,0.55288310647375971,0.0014163609175467369,6.0659441272035615,991
FREE,0.68905854401378552,3.0419110065049981,0.2978936783264105,0.0017937129586220143,5.0416437528685867,567
GGCH,0.71470634550287804,4.3467590615669165,1.1515723301420733,0.0014590831888770634,6.5423005469363256,447
GORD,0.74478235144055249,3.0087516673784833,0.55594172941984188,0.0018105792667791666,5.1521709506811382,819
GPCC,0.53284960908413581,3.5985922760647426,0.8854589024127838,0.00097269474598806545,6.762652264320173,452
GREE,0.60561526148422251,3.6272147190576627,0.7613508760832487,0.0015371773162409304,6.2364661443326153,433
HELP,0.58876057076339017,3.2709427317931286,0.71379383061594004,0.0011447651037533723,6.2514546829093023,481
HVAL,0.73777447171431854,3.4459053975596889,0.63528224118619792,0.0018404771218583371,5.5411238546037334,1137
HVCC,0.56671482984959853,3.5512107687423633,0.69304279525347845,0.0013580455129724007,6.3506859582709287,454
KINO,0.67932105811608712,3.5600705752613715,0.94005768071222728,0.0014846975949168542,6.0988444067541856,659
KNOT,0.65557702369254489,3.4094678471465953,0.84439116225650801,0.0015019080245899366,6.0297644114124394,625
LAKE,0.76754627962606181,3.2597909459611896,0.61263557933827761,0.0021399363079298377,5.236395927457818,1720
LEIS,0.57473589814823278,3.706263276932503,0.76296190966793298,0.0013556480753223988,6.4320815472403581,540
LHAB,0.59666857097002124,3.1381420883183577,0.50609972527273761,0.001347208087545234,5.9082640966104218,497
LPAL,0.63662369264087715,3.5399235726373761,0.72078857593817669,0.0019651597747349274,5.9454673959182038,435
MANO,0.85575621683318714,3.2562421368782317,0.5310614132316519,0.0015159752771566641,4.8553730122753365,2061
MESA,0.78919067011858768,3.3001879340507583,0.50296212553488984,0.0016027827589753382,5.1420179823372605,787
NEWO,0.86811730509739582,3.1835130507447156,0.48932648066762441,0.0015992255462184805,4.6565154722023117,2304
NNRC,0.79957007595805596,3.2863114823383586,0.44212698515226506,0.0032556831446324181,4.7997633596399529,1148
NSUB,0.28432176982278695,3.3755774570299453,0.50647281111903231,0.0019673330695311,6.7290055620157485,362
ORRH,0.7636832264892065,3.5276590443864722,0.70812914256163428,0.0013874393205937001,5.6703013585594269,621
PACI,0.55713669698384705,3.7894335617513972,0.87129993449384013,0.0014229548983168737,6.5358697626143858,466
PALM,0.84232611816682812,3.2910439734519992,0.51072972612599365,0.0022280280353247032,4.8332079033850999,1346
PANA,0.58703348820001289,3.8945520376192846,0.81193438987899702,0.0017550441076106147,6.3611925803056906,461
PKVW,0.35668170679396166,3.3951189121667551,1.0411573246204793,0.0013304225081140243,6.9965048358094375,126
PREG,0.66405034451627565,3.1497322256029507,0.44186321239129389,0.0021097833426044579,5.3734526309128148,832
PSUP,0.66381966278648463,3.2497120948628617,0.54121504219130623,0.0015663895357383112,5.6718555919846239,842
PVIS,0.69525235278787156,3.4415662643554992,0.75472950433106767,0.001259001318746315,5.946458079501574,817
QUAK,0.62725337703696149,3.4169201841845203,0.5677808631146114,0.001387712004365239,5.9842962790124297,408
RGNT,0.51409747933370054,3.1442433626106747,0.53456786551706359,0.0018640376580420048,6.05976675337015,315
ROYL,0.26087312329087731,2.7782680694120092,0.065207870591472469,0.0035985139361848174,5.7973514160745019,2485
SCRT,0.48549493080826228,3.4497704876122572,0.69161541652162561,0.0017106687721366929,6.4115174684285652,411
SEAC,0.69382484727659866,3.3535273245387023,0.60840209833309811,0.0019517360802742997,5.5926422721634266,1489
SNMR,0.43669453523064128,3.7134890103971094,0.64690415781512456,0.0011327766033700478,6.8931874415760888,278
STAN,0.49469729930385403,3.7072259573539763,1.3202170328746796,0.0019036220741247155,6.5797780699897634,108
TERR,0.7782968168527884,3.7299775460500619,0.6535780136263073,0.0017112792849959145,5.6434158427325833,526
TOWN,0.58025229198145079,3.0697622432340084,0.36276459197651584,0.0033091438683735498,5.3233243982725194,1228
VICT,0.73875566532703174,3.430947836234953,0.56079882258805391,0.0012785334769396207,5.5908612057666778,575
VIVA,0.88018344337527488,3.4322402357493331,0.57237571563721468,0.0025781692880292462,4.8471685380190142,820
WAEC,0.50331296982612561,3.3909402075823962,0.60662587557537884,0.0021816893534938289,6.1396697384205092,739
WINA,0.48815946801257382,3.5364125713538512,0.6797993795493642,0.0014045582885308875,6.5527119292307736,599
WINF,0.52175639214400293,3.1236197628604381,0.43782091203324902,0.0024848861161812607,5.7804130347519065,623
WLNT,0.50583116162101238,3.4138062592352401,0.50334089600046705,0.0016484116942344868,6.2498816265515238,401
